price,postcode,bedrooms,baths,receptions,station,parking,garage,balcony,terrace,garden,porter,security,concierge,new,pre_owned,type_of_building,fireplace,wood_floors,listed,agent
425000.0,e9,2 beds,1 bath,1 reception,0.2 miles london fields,yes,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","dexters - hackney, view , agent,  properties"
975000.0,nw3,2 beds,2 baths,1 reception,0.1 miles swiss cottage,yes,no,yes,no,no,yes,no,yes,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","liv international, view , agent,  properties"
1100000.0,w11,2 beds,2 baths,1 reception,0.3 miles notting hill gate,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","knight frank - notting hill sales, view , agent,  properties"
750000.0,sw6,2 beds,1 bath,1 reception,0.3 miles fulham broadway,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","douglas & gordon - fulham, view , agent,  properties"
569950.0,nw2,4 beds,2 baths,1 reception,0.2 miles willesden green,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","exp world uk, view , agent,  properties"
750000.0,n5,3 beds,1 bath,1 reception,0.2 miles arsenal,no,no,no,no,no,no,no,no,no,yes,maisonette,no,no,"listed on,  , 23rd apr 2021","purplebricks, head office, view , agent,  properties"
1450000.0,sw5,2 beds,1 bath,1 reception,0.1 miles earl's court,no,no,yes,no,yes,yes,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","savills - earl's court, view , agent,  properties"
1000000.0,w1w,2 beds,1 bath,1 reception,0.2 miles oxford circus,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","liv international, view , agent,  properties"
1100000.0,nw6,3 beds,2 baths,2 receptions,0.3 miles kilburn high road,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","liv international, view , agent,  properties"
475000.0,se8,1 bed,1 bath,1 reception,0.5 miles surrey quays,yes,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","metro village ltd, view , agent,  properties"
900000.0,e14,2 beds,2 baths,1 reception,0.4 miles westferry,yes,no,no,yes,yes,no,no,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","purplebricks, head office, view , agent,  properties"
450000.0,se22,1 bed,1 bath,1,0.3 miles east dulwich,no,no,no,no,yes,no,no,no,no,yes,flat,yes,no,"listed on,  , 23rd apr 2021","truepenny's, view , agent,  properties"
875000.0,e14,2 beds,2 baths,1 reception,0.2 miles canary wharf,no,no,no,yes,yes,no,yes,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","ernest-brooks international, view , agent,  properties"
495000.0,n4,1 bed,1 bath,1 reception,0.4 miles stamford hill,no,no,no,no,no,no,no,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","champs uk property asset management, view , agent,  properties"
500000.0,sw4,2 beds,1 bath,1 reception,0.7 miles clapham common,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","yopa, view , agent,  properties"
545000.0,sw10,2 beds,1 bath,1 reception,0.4 miles imperial wharf,no,no,no,yes,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","hamptons - chelsea sales, view , agent,  properties"
650000.0,sw18,2 beds,1 bath,1 reception,0.1 miles wandsworth town,no,no,yes,no,no,no,no,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","purplebricks, head office, view , agent,  properties"
375000.0,se24,1 bed,1 bath,1 reception,0.3 miles herne hill,yes,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","purplebricks, head office, view , agent,  properties"
399950.0,se14,2 beds,1 bath,1,0.3 miles nunhead,yes,no,yes,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","munday's, london, view , agent,  properties"
1325000.0,se1,3 beds,3 baths,1 reception,0 miles borough,no,no,yes,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","foxtons - london bridge, view , agent,  properties"
695000.0,nw10,3 beds,2 baths,1 reception,0.4 miles kensal green,no,no,no,yes,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","winkworth - north kensington, view , agent,  properties"
2000000.0,nw3,3 beds,2 baths,1 reception,0.1 miles hampstead,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","foxtons - hampstead, view , agent,  properties"
475000.0,e9,3 beds,1 bath,1 reception,0.3 miles hackney central,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","foxtons - hackney, view , agent,  properties"
1650000.0,sw13,3 beds,3 baths,1 reception,0.6 miles hammersmith (d & p),yes,no,no,no,yes,no,no,yes,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","chestertons - barnes village, view , agent,  properties"
750000.0,e8,2 beds,2 baths,1 reception,0.3 miles hackney downs,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","stirling ackroyd - hackney, view , agent,  properties"
1350000.0,nw8,2 beds,2 baths,2 receptions,0.2 miles maida vale,no,no,yes,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","hanover, view , agent,  properties"
325000.0,se8,3 beds,1 bath,1 reception,0.3 miles deptford bridge,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","your move - new cross, view , agent,  properties"
769000.0,sw18,2 beds,2 baths,1,0 miles wandsworth town,no,no,no,yes,no,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","realm estates, view , agent,  properties"
700000.0,sw6,1 bed,1 bath,1 reception,0.1 miles fulham broadway,yes,no,no,no,no,no,no,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","dexters - fulham, view , agent,  properties"
725000.0,sw11,3 beds,1 bath,1 reception,0.4 miles clapham junction,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","foxtons - battersea, view , agent,  properties"
475000.0,sw5,1 bed,1 bath,1 reception,0.1 miles earl's court,no,no,no,no,yes,yes,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","hamptons - chelsea sales, view , agent,  properties"
625000.0,nw6,2 beds,2 baths,1 reception,0.2 miles west hampstead thameslink,no,no,no,no,no,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","hamptons - west hampstead sales, view , agent,  properties"
850000.0,n4,3 beds,3 baths,1 reception,0.3 miles finsbury park,no,no,no,yes,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","winkworth - harringay, view , agent,  properties"
850000.0,w6,4 beds,2 baths,2 receptions,0.2 miles hammersmith (d & p),yes,no,no,no,no,yes,yes,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","latymers, view , agent,  properties"
600000.0,w6,2 beds,2 baths,2 receptions,0.4 miles barons court,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","maskells, view , agent,  properties"
450000.0,n2,2 beds,2 baths,1 reception,0.5 miles east finchley,yes,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","winkworth - finchley, view , agent,  properties"
400000.0,se15,2 beds,,1,0.2 miles queens road (peckham),no,no,yes,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","winkworth - forest hill and new cross, view , agent,  properties"
440000.0,se15,1 bed,1 bath,1 reception,0.2 miles queens road (peckham),no,no,yes,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","winkworth - forest hill and new cross, view , agent,  properties"
355000.0,n1,1 bed,1 bath,1 reception,0.5 miles essex road,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","fyfe mcdade ltd, view , agent,  properties"
699000.0,e5,2 beds,2 baths,1,0.4 miles stamford hill,no,no,no,yes,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","countryside - quartet, view , developer,  properties"
475000.0,e5,1 bed,1 bath,1,0.4 miles stamford hill,no,no,yes,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","countryside - quartet, view , developer,  properties"
575000.0,sw8,3 beds,1 bath,1 reception,0.5 miles st george wharf pier,no,no,yes,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","featherstone leigh - battersea, view , agent,  properties"
575000.0,se5,2 beds,1 bath,1 reception,0.3 miles oval,no,no,yes,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","acorn - kennington, view , agent,  properties"
600000.0,w11,1 bed,1 bath,1 reception,0.2 miles ladbroke grove,no,no,no,no,no,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","bective - notting hill, view , agent,  properties"
645000.0,sw9,2 beds,1 bath,1 reception,0.4 miles stockwell,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","strike, view , agent,  properties"
645000.0,sw9,2 beds,1 bath,1 reception,0.4 miles stockwell,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","strike, view , agent,  properties"
540000.0,w12,2 beds,1 bath,1 reception,0.5 miles goldhawk road,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","dexters - shepherds bush, view , agent,  properties"
1399999.0,sw6,3 beds,3 baths,1 reception,0.4 miles imperial wharf,yes,no,yes,no,no,yes,no,yes,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","bramtons, view , agent,  properties"
1375000.0,sw1v,2 beds,2 baths,1 reception,0.3 miles london victoria,yes,no,no,no,yes,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","mylondonhome - central london, view , agent,  properties"
1200000.0,w2,2 beds,1 bath,1 reception,0.1 miles lancaster gate,yes,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","cluttons - hyde park, view , agent,  properties"
430000.0,sw18,1 bed,1 bath,1 reception,0.1 miles wandsworth town,yes,no,yes,no,yes,no,no,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","h&g property, view , agent,  properties"
535000.0,se15,2 beds,1 bath,1 reception,0.5 miles crofton park,no,no,no,yes,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","roy brooks, view , agent,  properties"
1250000.0,sw3,1 bed,1 bath,1 reception,0.1 miles cadogan pier,yes,no,yes,no,no,no,no,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","knight frank - chelsea sales, view , agent,  properties"
